Year,Month,Day,MaxTemperature,MinTemperature
2020,01,1,24.2,12.6
2020,01,4,26.9,17.7
2020,01,7,23.9,17.8
2020,01,10,23.8,12.8
2020,01,13,27.6,17.6
2020,01,16,24.6,12.8
2020,01,19,29.9,23.5
2020,01,22,26.5,20.2
2020,01,25,27.7,19.0
2020,01,28,28.9,21.9
2020,01,31,30.5,24.5
2020,02,3,29.0,21.4
2020,02,6,30.4,19.9
2020,02,9,29.2,20.7
2020,02,12,32.0,26.7
2020,02,15,32.5,26.3
2020,02,18,29.6,17.9
2020,02,21,35.3,24.6
2020,02,24,31.7,26.0
2020,02,27,34.2,26.2
2020,03,1,31.1,22.7
2020,03,4,30.9,19.5
2020,03,7,32.5,22.8
2020,03,10,33.0,24.4
2020,03,13,34.6,28.3
2020,03,16,37.3,26.9
2020,03,19,37.3,26.0
2020,03,22,35.3,23.9
2020,03,25,32.4,26.0
2020,03,28,32.2,24.9
2020,03,31,34.3,27.4
2020,04,3,37.0,29.5
2020,04,6,33.7,24.9
2020,04,9,32.8,22.2
2020,04,12,32.4,20.5
2020,04,15,36.5,30.1
2020,04,18,31.8,21.1
2020,04,21,35.9,25.8
2020,04,24,36.1,30.6
2020,04,27,33.4,27.6
2020,04,30,36.3,26.9
2020,05,3,32.9,27.4
2020,05,6,32.5,25.2
2020,05,9,34.7,25.3
2020,05,12,35.4,27.1
2020,05,15,30.5,20.5
2020,05,18,34.0,25.1
2020,05,21,33.7,25.3
2020,05,24,31.9,23.9
2020,05,27,28.5,22.8
2020,05,30,28.2,18.7
2020,06,2,29.5,20.9
2020,06,5,32.6,25.9
2020,06,8,29.2,18.9
2020,06,11,27.6,22.1
2020,06,14,27.6,21.4
2020,06,17,30.9,20.3
2020,06,20,28.7,17.6
2020,06,23,29.2,22.9
2020,06,26,29.3,20.5
2020,06,29,28.3,17.0
2020,07,2,24.8,19.1
2020,07,5,23.8,15.8
2020,07,8,26.8,15.8
2020,07,11,21.5,12.9
2020,07,14,23.4,16.9
2020,07,17,21.1,13.8
2020,07,20,25.6,18.3
2020,07,23,22.6,12.6
2020,07,26,21.1,10.0
2020,07,29,24.3,17.5
2020,08,1,21.0,13.9
2020,08,4,19.3,14.0
2020,08,7,20.8,12.3
2020,08,10,17.0,10.1
2020,08,13,21.7,15.1
2020,08,16,16.8,10.0
2020,08,19,21.4,14.7
2020,08,22,19.2,10.0
2020,08,25,16.2,10.0
2020,08,28,16.6,10.0
2020,08,31,17.9,10.0
2020,09,3,15.0,10.0
2020,09,6,15.5,10.0
2020,09,9,15.0,10.0
2020,09,12,17.1,12.0
2020,09,15,15.9,10.0
2020,09,18,16.5,10.3
2020,09,21,16.6,10.0
2020,09,24,18.0,12.0
2020,09,27,15.0,10.0
2020,09,30,17.7,10.0
2020,10,3,15.0,10.0
2020,10,6,16.9,10.0
2020,10,9,15.2,10.0
2020,10,12,15.0,10.0
2020,10,15,17.4,10.0
2020,10,18,15.0,10.0
2020,10,21,16.5,10.0
2020,10,24,17.6,10.0
